Products[Manufacturer],Products[Color],Products[SubCategory],Products[Category],Products[Brand Name],Products[Class Name],Products[Product Description],Products[Product Key],Products[Product Name],Products[Unit Cost],Products[Unit Price]
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Regular","Attach your phone to the cigarette lighter in your car, providing it the power to be used and recharged.","810","Contoso Car power adapter M90 Grey","9.17","19.95"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Regular","It acts as a convenient carrier for an included hub, can also be used as a non-scratch screen wipe","811","Contoso Notebook Peripheral Kit M69 Grey","7.59","16.5"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","Nearly 1,000 notebook computers are stolen everyday - protect your notebook computer and its valuable data with this affordable security product","812","Contoso Mouse Lock Bundle E200 Grey","6.6","12.95"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","Goal is to enhance your lifestyle by offering innovative and quality products, as well as continuing to listen and respond to its customers","813","Contoso Education Supplies Bundle E200 Grey","6.88","13.5"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Regular","Get the four most popular accessories in one easy bundle with the Laptop 4-in-1 starter bundle This kit is the perfect complement to your laptop ensuring you have the tools you need","814","Contoso Laptop Starter Bundle M200 Grey","7.59","16.5"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Regular","Education messenger essentials bundle - notebook accessories bundle","815","Contoso Education Essentials Bundle M300 Grey","4.37","9.5"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","Desktop alternative bundle","816","Contoso Desktop Alternative Bundle E200 Grey","5.86","11.5"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","Notebook essentials bundle - notebook accessories bundle","817","Contoso Power Inverter - DC to AC power inverter E900 Grey","4.84","9.5"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Regular","Smart battery - memory backup battery","818","Contoso Smart Battery M901 Grey","5.29","11.5"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","Laptop cooling hub notebook fan with 4 ports USB hub","819","Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Grey","15.24","29.9"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","Home/Office Laptop power adapter","820","Contoso Home/Office Laptop Power Adapter E300 Grey","13","25.5"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Regular","USB 2.0 dock station docking station","821","Contoso USB 2.0 Dock Station docking station M800 Grey","13.75","29.9"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Regular","Home office enhanced capacity battery","822","Contoso Enhanced Capacity Battery M800 Grey","12.83","27.9"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Regular","Connectivity starter kit smart buy","823","Contoso Connectivity Starter Kit Smart Buy M680 Grey","12.83","27.9"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","Enhanced capacity battery adapter","824","Contoso 90W AC/DC Power Adapter E300 Grey","6.07","11.9"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","Reserve pen - tablet pen, connectivity technology, wireless","825","Contoso Reserve Pen - Tablet Pen E200 Grey","7.09","13.9"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","USB data Link - direct connect adapter","826","Contoso USB Data Link - direct connect adapter E600 Grey","8.62","16.9"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Deluxe","Primary extended capacity battery pack - notebook battery","827","Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Grey","11.23","33.9"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Regular","Digital camera accessory kit","828","Contoso Digital camera accessory kit M200 Grey","10.99","23.9"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Deluxe","Leather case for digital photo camera","829","Contoso Leather Case - case for digital photo camera X20 Grey","13.22","39.9"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","Lens cap black","830","Contoso Lens cap E80 Grey","15.27","29.95"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","imary extended capacity battery pack","831","Contoso Battery charger - bike E200 Grey","10.15","19.9"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","USB optical mouse","832","Contoso USB Optical Mouse E200 Grey","7.9","15.5"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","ADSL modem splitter/filter X 1","833","Contoso ADSL Modem Splitter/Filter X 1 E100 Grey","9.13","17.9"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","ADSL modem splitter/filter X 2","834","Contoso ADSL Modem Splitter/Filter X 2 E200 Grey","11.68","22.9"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","ADSL modem splitter/filter X 3","835","Contoso ADSL Modem Splitter/Filter X 3 E300 Grey","26.97","52.9"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","USB wave multimedia keyboard","836","Contoso USB Wave Multi-Media Keyboard E280 Grey","8.11","15.9"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","Cables to go USB 2.0 hard drive enclosure","837","Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Grey","6.07","11.9"
"Contoso, Ltd","Gold","Computers Accessories","Computers","Contoso","Economy","USB optical mouse","838","Contoso USB Optical Mouse E200 Gold","7.9","15.5"
"Contoso, Ltd","Gold","Computers Accessories","Computers","Contoso","Regular","USB wave multimedia keyboard","839","Contoso USB Wave Multi-Media Keyboard M901 Gold","11.91","25.9"
"Contoso, Ltd","Gold","Computers Accessories","Computers","Contoso","Regular","Golden laptop cooling Hub notebook fan with 4 ports USB hub","840","Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub M200 Gold","18.35","39.9"
"Contoso, Ltd","Gold","Computers Accessories","Computers","Contoso","Economy","Reserve pen - tablet pen","841","Contoso Reserve Pen - Tablet Pen E200 Gold","7.09","13.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Illuminate wireless reading device, two super LED lights","842","Contoso Bright Light battery E20 Black","13.71","26.9"
"Contoso, Ltd","Blue","Computers Accessories","Computers","Contoso","Economy","Illuminate wireless reading device, two super LED lights","843","Contoso Bright Light battery E20 blue","13.71","26.9"
"Contoso, Ltd","Pink","Computers Accessories","Computers","Contoso","Economy","Illuminate wireless reading device, two super LED lights","844","Contoso Bright Light battery E20 Pink","13.71","26.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","Illuminate wireless reading device, two super LED lights","845","Contoso Bright Light battery E20 White","13.71","26.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Compact neoprene sleeve transport mini laptop or DVD player in any briefcase, messenger bag or backpack","846","Contoso Ultraportable Neoprene Sleeve E30 Black","7.95","15.6"
"Contoso, Ltd","Pink","Computers Accessories","Computers","Contoso","Economy","Compact neoprene sleeve transport mini laptop or DVD player in any briefcase, messenger bag or backpack","847","Contoso Ultraportable Neoprene Sleeve E30 Pink","7.95","15.6"
"Contoso, Ltd","Yellow","Computers Accessories","Computers","Contoso","Economy","Compact neoprene sleeve transport mini laptop or DVD player in any briefcase, messenger bag or backpack","848","Contoso Ultraportable Neoprene Sleeve E30 Yellow","7.95","15.6"
"Contoso, Ltd","Green","Computers Accessories","Computers","Contoso","Economy","Compact neoprene sleeve transport mini laptop or DVD player in any briefcase, messenger bag or backpack","849","Contoso Ultraportable Neoprene Sleeve E30 Green","7.95","15.6"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Deluxe","Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort","850","Contoso Laptop Keyboard X105 Black","76.5","230.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Deluxe","Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort","851","Contoso Laptop Keyboard X105 White","76.5","230.9"
"Contoso, Ltd","Brown","Computers Accessories","Computers","Contoso","Deluxe","Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort","852","Contoso Laptop Keyboard X105 Brown","76.5","230.9"
"Contoso, Ltd","Silver","Computers Accessories","Computers","Contoso","Deluxe","Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort","853","Contoso Laptop Keyboard X105 Silver","76.5","230.9"
"Contoso, Ltd","Brown","Computers Accessories","Computers","Contoso","Regular","Speakers system is the perfect audio companion to your PC or notebook","854","Contoso Multimedia Speakers M25 Brown","59.32","129"
"Contoso, Ltd","Blue","Computers Accessories","Computers","Contoso","Regular","Speakers system is the perfect audio companion to your PC or notebook","855","Contoso Multimedia Speakers M25 Blue","59.32","129"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Regular","Speakers system is the perfect audio companion to your PC or notebook","856","Contoso Multimedia Speakers M25 Black","59.32","129"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Regular","Speakers system is the perfect audio companion to your PC or notebook","857","Contoso Multimedia Speakers M25 White","59.32","129"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Regular","Wireless notebook mouse, long battery life, convenient snap-in receiver","858","Contoso Wireless Notebook Optical Mouse M35 Black","13.77","29.95"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Regular","Wireless notebook mouse, long battery life, convenient snap-in receiver","859","Contoso Wireless Notebook Optical Mouse M35 White","13.77","29.95"
"Contoso, Ltd","Blue","Computers Accessories","Computers","Contoso","Regular","Wireless notebook mouse, long battery life, convenient snap-in receiver","860","Contoso Wireless Notebook Optical Mouse M35 Blue","13.77","29.95"
"Contoso, Ltd","Silver","Computers Accessories","Computers","Contoso","Regular","Wireless notebook mouse, long battery life, convenient snap-in receiver","861","Contoso Wireless Notebook Optical Mouse M35 Silver","13.77","29.95"
"Contoso, Ltd","Orange","Computers Accessories","Computers","Contoso","Regular","Wireless notebook mouse, long battery life, convenient snap-in receiver","862","Contoso Wireless Notebook Optical Mouse M35 Orange","13.77","29.95"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Regular","An improved wheel to make the scrolling up, down and sideways, faster, more comfortable and easier to use","863","Contoso Optical USB Mouse M45 Black","23.45","50.99"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Regular","An improved wheel to make the scrolling up, down and sideways, faster, more comfortable and easier to use","864","Contoso Optical USB Mouse M45 White","23.45","50.99"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Regular","An improved wheel to make the scrolling up, down and sideways, faster, more comfortable and easier to use","865","Contoso Optical USB Mouse M45 Grey","23.45","50.99"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Regular","Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface","866","Contoso Wireless Laser Mouse M55 Black","32.19","69.99"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Regular","Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface","867","Contoso Wireless Laser Mouse M55 White","32.19","69.99"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Regular","Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface","868","Contoso Wireless Laser Mouse M55 Grey","32.19","69.99"
"Contoso, Ltd","Silver","Computers Accessories","Computers","Contoso","Regular","Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface","869","Contoso Wireless Laser Mouse M55 Silver","32.19","69.99"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface","870","Contoso Wireless Laser Mouse E50 Black","10.69","20.96"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface","871","Contoso Wireless Laser Mouse E50 White","10.69","20.96"
"Contoso, Ltd","Silver","Computers Accessories","Computers","Contoso","Economy","Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface","872","Contoso Wireless Laser Mouse E50 Silver","10.69","20.96"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","Advanced 2.4 GHz cordless technology makes freedom, hyper-fast scrolling, laser, and cursor control on virtually any surface","873","Contoso Wireless Laser Mouse E50 Grey","10.69","20.96"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Deluxe","Wireless notebook mouse, long battery life, convenient snap-in receiver","874","Contoso Wireless Notebook Optical Mouse X205 Black","43.06","129.95"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Deluxe","Wireless notebook mouse, long battery life, convenient snap-in receiver","875","Contoso Wireless Notebook Optical Mouse X205 White","43.06","129.95"
"Contoso, Ltd","Blue","Computers Accessories","Computers","Contoso","Deluxe","Wireless notebook mouse, long battery life, convenient snap-in receiver","876","Contoso Wireless Notebook Optical Mouse X205 Blue","43.06","129.95"
"Contoso, Ltd","Silver","Computers Accessories","Computers","Contoso","Deluxe","Wireless notebook mouse, long battery life, convenient snap-in receiver","877","Contoso Wireless Notebook Optical Mouse X205 Silver","43.06","129.95"
"Contoso, Ltd","Orange","Computers Accessories","Computers","Contoso","Deluxe","Wireless notebook mouse, long battery life, convenient snap-in receiver","878","Contoso Wireless Notebook Optical Mouse X205 Orange","43.06","129.95"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","PS/2 mouse, 6 feet mouse cable","879","Contoso Optical Wheel OEM PS/2 Mouse E60 Grey","6.63","13"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","PS/2 mouse, 6 feet mouse cable","880","Contoso Optical Wheel OEM PS/2 Mouse E60 Black","6.63","13"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","PS/2 mouse, 6 feet mouse cable","881","Contoso Optical Wheel OEM PS/2 Mouse E60 White","6.63","13"
"Contoso, Ltd","Silver","Computers Accessories","Computers","Contoso","Economy","PS/2 mouse, 6 feet mouse cable","882","Contoso Optical Wheel OEM PS/2 Mouse E60 Silver","6.63","13"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Deluxe","Transceiver-free wireless connection to your PC with Bluetooth Technology","883","Contoso Bluetooth Notebook Mouse X305 Black","49.7","150"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Deluxe","Transceiver-free wireless connection to your PC with Bluetooth Technology","884","Contoso Bluetooth Notebook Mouse X305 White","49.7","150"
"Contoso, Ltd","Silver","Computers Accessories","Computers","Contoso","Deluxe","Transceiver-free wireless connection to your PC with Bluetooth Technology","885","Contoso Bluetooth Notebook Mouse X305 Silver","49.7","150"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Deluxe","Transceiver-free wireless connection to your PC with Bluetooth Technology","886","Contoso Bluetooth Notebook Mouse X305 Grey","49.7","150"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Transceiver-free wireless connection to your PC with Bluetooth Technology","887","Contoso Bluetooth Notebook Mouse E70 Black","25.49","50"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","Transceiver-free wireless connection to your PC with Bluetooth Technology","888","Contoso Bluetooth Notebook Mouse E70 White","25.49","50"
"Contoso, Ltd","Silver","Computers Accessories","Computers","Contoso","Economy","Transceiver-free wireless connection to your PC with Bluetooth Technology","889","Contoso Bluetooth Notebook Mouse E70 Silver","25.49","50"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","Transceiver-free wireless connection to your PC with Bluetooth Technology","890","Contoso Bluetooth Notebook Mouse E70 Grey","25.49","50"
